Calendar year,Month,ABS remoteness area,Cause of injury,Age group,Sex,Road user,Counterparty,Count of cases,Bed days,Died_cases,Died_bed_days,Hospitalisations
2011,April,Major Cities,All other trauma events,0-7,Female,Not applicable,Not applicable,765.0,1007,,,765
2011,April,Major Cities,All other trauma events,0-7,Male,Not applicable,Not applicable,1010.0,1694,,,1010
2011,April,Major Cities,All other trauma events,17-25,Female,Not applicable,Not applicable,859.0,1597,,,859
2011,April,Major Cities,All other trauma events,17-25,Male,Not applicable,Not applicable,2231.0,3878,2.0,3.0,2229
2011,April,Major Cities,All other trauma events,26-39,Female,Not applicable,Not applicable,1098.0,2347,1.0,14.0,1097
2011,April,Major Cities,All other trauma events,26-39,Male,Not applicable,Not applicable,2339.0,4686,7.0,25.0,2332
2011,April,Major Cities,All other trauma events,40-64,Female,Not applicable,Not applicable,2060.0,6506,3.0,12.0,2057
2011,April,Major Cities,All other trauma events,40-64,Male,Not applicable,Not applicable,2688.0,8527,6.0,47.0,2682
2011,April,Major Cities,All other trauma events,65-74,Female,Not applicable,Not applicable,960.0,5174,4.0,57.0,956
2011,April,Major Cities,All other trauma events,65-74,Male,Not applicable,Not applicable,661.0,3382,5.0,47.0,656
2011,April,Major Cities,All other trauma events,75+,Female,Not applicable,Not applicable,3288.0,26974,77.0,652.0,3211
2011,April,Major Cities,All other trauma events,75+,Male,Not applicable,Not applicable,1480.0,11983,62.0,537.0,1418
2011,April,Major Cities,All other trauma events,8-16,Female,Not applicable,Not applicable,562.0,943,,,562
2011,April,Major Cities,All other trauma events,8-16,Male,Not applicable,Not applicable,1239.0,1973,1.0,3.0,1238
2011,April,Major Cities,Medical events,0-7,Female,Not applicable,Not applicable,8083.0,27401,11.0,121.0,8072
2011,April,Major Cities,Medical events,0-7,Male,Not applicable,Not applicable,11119.0,34808,19.0,217.0,11100
2011,April,Major Cities,Medical events,17-25,Female,Not applicable,Not applicable,16666.0,38207,4.0,24.0,16662
2011,April,Major Cities,Medical events,17-25,Male,Not applicable,Not applicable,7972.0,24280,2.0,4.0,7970
2011,April,Major Cities,Medical events,26-39,Female,Not applicable,Not applicable,44976.0,113643,11.0,81.0,44965
2011,April,Major Cities,Medical events,26-39,Male,Not applicable,Not applicable,16814.0,53366,18.0,140.0,16796
2011,April,Major Cities,Medical events,40-64,Female,Not applicable,Not applicable,72908.0,162113,140.0,1725.0,72768
2011,April,Major Cities,Medical events,40-64,Male,Not applicable,Not applicable,67962.0,150673,210.0,2245.0,67752
2011,April,Major Cities,Medical events,65-74,Female,Not applicable,Not applicable,31963.0,84980,164.0,1993.0,31799
2011,April,Major Cities,Medical events,65-74,Male,Not applicable,Not applicable,38131.0,95210,250.0,2630.0,37881
2011,April,Major Cities,Medical events,75+,Female,Not applicable,Not applicable,40755.0,186660,694.0,6432.0,40061
2011,April,Major Cities,Medical events,75+,Male,Not applicable,Not applicable,43899.0,152459,690.0,6416.0,43209
2011,April,Major Cities,Medical events,8-16,Female,Not applicable,Not applicable,4831.0,11237,,,4831
